customer_id,first_name,last_name,date_of_birth,age,region,employment_status,employment_length_yrs,annual_income,risk_band,credit_score,num_prev_defaults,created_date
CUST000001,Nathan,Jennings,1996-09-09,29,Glasgow,Employed,0.8,41800.0,Near-Prime,694,0,2023-03-04
CUST000002,Francis,Davidson,1969-11-03,56,Glasgow,Contractor,1.2,60200.0,Prime,751,0,2022-06-09
CUST000003,Janice,Hopkins,1999-03-24,26,Sheffield,Employed,2.8,54600.0,Prime,825,0,2023-10-18
CUST000004,Robert,Green,1955-05-04,70,Birmingham,Employed,20.4,17000.0,Prime,829,0,2022-12-28
CUST000005,Mandy,Payne,1987-07-26,38,Bristol,Employed,0.1,38100.0,Sub-Prime,586,0,2022-11-05
CUST000006,Francesca,Harrison,2001-11-25,24,Leeds,Employed,5.7,50600.0,Prime,751,0,2023-10-14
CUST000007,Lucy,Wright,1968-03-06,58,London,Employed,5.4,40300.0,Sub-Prime,614,0,2025-06-11
CUST000008,Sam,Harrison,1953-08-14,72,Manchester,Self-Employed,14.0,13600.0,Prime,812,1,2023-06-13
CUST000009,Dean,Stevens,1972-02-01,54,Glasgow,Employed,3.7,41400.0,Near-Prime,727,0,2025-04-01
CUST000010,Timothy,Green,1976-01-31,50,Liverpool,Employed,0.9,82500.0,Deep Sub-Prime,523,0,2022-05-31
CUST000011,Leigh,Butler,1977-08-09,48,Glasgow,Employed,8.4,60800.0,Near-Prime,680,1,2025-06-07
CUST000012,Kelly,Wilkinson,1956-02-18,70,Cardiff,Contractor,3.0,57900.0,Prime,790,0,2025-12-03
CUST000013,Jason,Fisher,1978-12-08,47,Glasgow,Self-Employed,4.5,45700.0,Near-Prime,741,0,2025-07-12
CUST000014,Marian,Young,1995-12-15,30,London,Self-Employed,1.3,15600.0,Deep Sub-Prime,530,0,2023-07-16
CUST000015,Alex,Campbell,1992-06-19,33,Sheffield,Employed,0.6,37900.0,Prime,828,0,2022-03-13
CUST000016,Julian,Griffin,1998-03-05,28,Cardiff,Employed,7.0,31300.0,Near-Prime,702,0,2022-05-04
CUST000017,Oliver,Palmer,1969-01-07,57,Birmingham,Employed,13.3,46700.0,Prime,808,1,2023-12-06
CUST000018,Julie,Marsden,1996-06-08,29,Leeds,Contractor,3.9,64800.0,Sub-Prime,623,1,2023-07-06
CUST000019,Vanessa,Phillips,1967-06-08,58,London,Employed,5.2,23500.0,Sub-Prime,641,0,2025-12-26
CUST000020,Eileen,Hammond,1999-09-10,26,Sheffield,Employed,14.3,28200.0,Near-Prime,730,0,2024-09-13
CUST000021,Eleanor,Briggs,1964-10-27,61,London,Employed,1.5,54700.0,Near-Prime,731,0,2022-09-11
CUST000022,Jessica,Dixon,1984-08-19,41,London,Employed,18.8,21400.0,Prime,805,0,2025-12-08
CUST000023,Charlene,Randall,1996-09-23,29,London,Employed,5.7,10400.0,Prime,845,0,2024-11-29
CUST000024,William,Wilson,1975-03-31,50,Glasgow,Employed,6.5,76100.0,Near-Prime,734,0,2022-02-19
CUST000025,Joanne,Phillips,1974-08-23,51,London,Employed,3.5,53900.0,Near-Prime,690,0,2022-11-24
CUST000026,Guy,Kelly,1991-10-10,34,Birmingham,Self-Employed,2.1,45100.0,Prime,839,0,2024-02-15
CUST000027,Carly,Hale,1980-02-06,46,Cardiff,Retired,0.7,24500.0,Deep Sub-Prime,567,2,2023-02-16
CUST000028,Louis,Morris,1962-09-05,63,Cardiff,Self-Employed,8.5,30900.0,Sub-Prime,678,0,2024-04-17
CUST000029,Fiona,Rowe,1971-01-21,55,London,Employed,11.4,41400.0,Near-Prime,681,0,2024-06-25
CUST000030,Linda,Lloyd,1980-05-10,45,Birmingham,Contractor,2.6,53700.0,Prime,797,1,2022-08-03
CUST000031,Valerie,Green,1987-11-07,38,Leeds,Contractor,4.7,39600.0,Sub-Prime,651,0,2022-03-15
CUST000032,Carl,Johnson,1960-08-21,65,Leeds,Self-Employed,1.4,19800.0,Near-Prime,720,0,2025-05-15
CUST000033,Mary,Anderson,1999-06-26,26,Cardiff,Self-Employed,1.8,49900.0,Sub-Prime,587,0,2023-08-21
CUST000034,Jodie,Turner,1979-02-23,47,Edinburgh,Retired,3.3,167800.0,Prime,779,2,2024-04-01
CUST000035,Andrea,Taylor,1970-04-14,55,London,Employed,3.4,49700.0,Near-Prime,700,0,2022-01-18
CUST000036,Geoffrey,Richardson,1999-06-21,26,London,Retired,3.2,23700.0,Prime,798,0,2024-04-14
CUST000037,Vincent,Read,2004-04-10,21,Glasgow,Employed,4.0,43000.0,Sub-Prime,616,0,2023-06-13
CUST000038,Billy,Williams,1960-10-07,65,Cardiff,Employed,3.3,37200.0,Prime,781,0,2023-12-06
CUST000039,Marcus,Page,1953-05-25,72,Sheffield,Retired,0.4,49900.0,Near-Prime,733,0,2025-03-29
CUST000040,Kathleen,Walker,1965-05-02,60,Sheffield,Self-Employed,6.0,21200.0,Prime,751,0,2025-09-14
CUST000041,Joel,Gray,1995-09-23,30,Cardiff,Employed,1.5,25200.0,Near-Prime,721,0,2024-02-28
CUST000042,Joe,Gould,1994-08-14,31,London,Employed,2.5,40000.0,Near-Prime,699,0,2025-03-30
CUST000043,Sheila,Watson,1964-03-03,62,Manchester,Employed,4.3,35600.0,Sub-Prime,594,0,2025-12-03
CUST000044,David,Anderson,1989-04-08,36,Sheffield,Employed,0.2,27800.0,Prime,807,1,2024-01-30
CUST000045,Nathan,Murray,1954-07-03,71,Bristol,Employed,7.3,47800.0,Near-Prime,739,0,2025-09-27
CUST000046,Shane,Tomlinson,1974-02-07,52,Birmingham,Employed,6.5,19200.0,Prime,843,3,2025-09-25
CUST000047,Jason,Cunningham,1991-10-14,34,Birmingham,Self-Employed,1.6,24400.0,Near-Prime,709,0,2024-01-25
CUST000048,Stacey,Miller,1957-11-20,68,Liverpool,Self-Employed,0.3,34300.0,Deep Sub-Prime,422,2,2022-07-19
CUST000049,Alice,May,1998-01-27,28,Liverpool,Self-Employed,1.6,104900.0,Near-Prime,727,0,2022-09-14
CUST000050,Debra,Carr,1971-03-20,55,Birmingham,Self-Employed,0.1,60900.0,Prime,765,0,2023-10-20
CUST000051,Sheila,Mitchell,1967-08-04,58,Leeds,Employed,0.1,51500.0,Prime,843,0,2024-12-07
CUST000052,Graeme,Matthews,1966-11-12,59,Sheffield,Employed,5.0,49000.0,Near-Prime,702,0,2024-11-09
CUST000053,Karen,Williams,1997-05-26,28,Sheffield,Employed,3.9,59100.0,Near-Prime,698,2,2024-03-15
CUST000054,Trevor,Smith,1983-11-25,42,Leeds,Employed,2.5,78600.0,Deep Sub-Prime,527,0,2022-04-10
CUST000055,Michael,Fox,1976-03-08,50,Bristol,Employed,8.6,20500.0,Near-Prime,730,0,2022-12-24
CUST000056,Gerald,Bailey,1993-03-21,32,Manchester,Employed,4.8,48800.0,Prime,795,0,2025-01-04
CUST000057,Darren,Wilson,1996-02-15,30,Sheffield,Employed,8.4,26600.0,Near-Prime,705,0,2025-11-07
CUST000058,Mohamed,Bruce,1955-04-25,70,Glasgow,Self-Employed,8.1,30400.0,Near-Prime,708,0,2023-01-05
CUST000059,Aimee,Jones,1972-02-16,54,Glasgow,Self-Employed,23.3,14900.0,Prime,822,1,2024-04-17
CUST000060,Alexandra,Allen,1962-03-07,64,Bristol,Employed,5.7,19700.0,Prime,811,0,2023-01-13
CUST000061,Jane,Bates,1985-05-12,40,London,Employed,3.4,16800.0,Prime,779,0,2022-05-31
CUST000062,Sharon,Nixon,1998-01-08,28,Liverpool,Contractor,2.2,23800.0,Prime,810,2,2023-10-01
CUST000063,Alexander,Davies,1984-12-15,41,Birmingham,Employed,0.4,40200.0,Near-Prime,731,0,2024-09-30
CUST000064,Benjamin,Ahmed,1959-11-16,66,Cardiff,Self-Employed,0.6,24300.0,Prime,802,2,2023-06-12
CUST000065,Frederick,Bates,1960-08-11,65,Sheffield,Employed,10.9,24000.0,Deep Sub-Prime,541,0,2024-04-13
CUST000066,Bradley,Oliver,1983-09-15,42,Edinburgh,Employed,6.0,30900.0,Sub-Prime,596,0,2023-03-09
CUST000067,Frederick,Gardiner,1984-08-28,41,Bristol,Employed,1.3,61700.0,Sub-Prime,645,1,2022-04-28
CUST000068,Georgina,Gibson,1983-05-02,42,Liverpool,Employed,2.2,40900.0,Prime,820,0,2024-10-10
CUST000069,Stephen,Morgan,1989-12-18,36,Cardiff,Employed,11.8,36000.0,Near-Prime,733,0,2025-12-10
CUST000070,Frank,Thompson,2004-06-15,21,Leeds,Employed,0.6,22000.0,Near-Prime,737,0,2024-01-25
CUST000071,Allan,Taylor,1985-12-07,40,Liverpool,Employed,1.7,30600.0,Sub-Prime,656,2,2025-11-02
CUST000072,Roger,Lamb,1957-03-02,69,Bristol,Employed,12.9,45700.0,Prime,781,2,2023-08-30
CUST000073,Sandra,Hussain,1971-03-23,54,Leeds,Employed,0.9,25600.0,Prime,768,3,2024-12-18
CUST000074,Suzanne,Adams,2002-11-20,23,Cardiff,Employed,1.6,22400.0,Near-Prime,682,2,2024-01-27
CUST000075,Karl,Doyle,1963-09-17,62,Glasgow,Employed,1.6,33600.0,Sub-Prime,655,0,2022-04-01
CUST000076,Joanna,Long,1992-08-03,33,Leeds,Retired,6.0,18400.0,Near-Prime,720,0,2023-05-03
